"","upNm","pgmNm","targetNm","price"
"1","금천청소년수련관","아침B-청소년","주2회수영-청소년(구)","36000"
"2","금천청소년수련관","난초A","초4~24세미만","41000"
"3","금천청소년수련관","아침C(5회)-청소년","주5회수영-청소년(구)","56000"
"4","시립서대문청소년센터","경기민요와 장구 A","7세~초등","40000"
"5","시립서대문청소년센터","국가공인 한자지도사","성인","30000"
"6","시립서대문청소년센터","기린A","초2~5","30000"
"7","시립서대문청소년센터","상어1-3(초급)","초등학생","40000"
"8","시립서대문청소년센터","셀프리더쉽&표현력 스피치 A","초3~6","33000"
"9","시립서대문청소년센터","속성 제빵자격증반","초6~성인(3개월)","150000"
"10","시립서대문청소년센터","신나는미술세상(C)","5~6세","30000"
"11","시립서대문청소년센터","신나는미술세상(D)","초등학생","30000"
"12","시립서대문청소년센터","죠스2-1(상급)","초등학생","33000"
"13","시립서대문청소년센터","죠스2-1(상급3개월) ","초등학생","89100"
"14","시립서대문청소년센터","죠스2-2(중급)","초등학생","33000"
"15","광진청소년센터","목요바이올린(7세-성인)B","성인","61000"
"16","성동청소년센터","[유아체능단] 급식비","유아","95460"
"17","마포청소년수련관","재미있는통기타교실(토12시40분)","초3-성인","35000"
"18","동대문청소년수련관","청소년성장집단상담","구분없음","1000000"
"19","시립성북청소년센터","맞춤형힐링상담 1형","구분없음","10000"
"20","창동청소년센터","금요 오전피아노A(청소년~성인)","중급","35000"
"21","시립서대문청소년센터","실버 (3개월)","성인,청소년(14세부터)","142560"
"22","금천청소년수련관","난초A중급-청소년","주3회수영-청소년","41000"
"23","금천청소년수련관","매화C(5회)","초4~24세미만","56000"
"24","금천청소년수련관","물개유아A","만5세~초3","36000"
"25","창동청소년센터","특)우드아트","청소년","10000"
"26","보라매청소년센터","내맘을알아주는통로","구분없음","20000"
"27","잠실청소년센터","키즈클라이밍A","유아6-7세","35000"
"28","광진청소년센터","목요바이올린(7세-성인)B","청소년","55000"
"29","광진청소년센터","보컬트레이닝A","초등-성인","50000"
"30","잠실청소년센터","키즈클라이밍B","초등 저","35000"
"31","금천청소년수련관","아침A중급-청소년","주3회수영-청소년","41000"
"32","금천청소년수련관","아침A초급-청소년","주3회수영-청소년","41000"
"33","금천청소년수련관","아침B 초급","강습2+자유4","63800"
"34","금천청소년수련관","심야A상급-청소년(3+3)","강습3+자유3","60000"
"35","금천청소년수련관","물개A-성인","성인여성(구)","51700"
"36","금천청소년수련관","단기속성(월,수,금)-6시","24세미만","135670"
"37","금천청소년수련관","백합A(3+3)","초4~24세미만","60000"
"38","잠실청소년센터","키즈클라이밍C","유아6-7세","35000"
"39","시립성북청소년센터","맞춤형힐링상담 2형","구분없음","5000"
"40","창동청소년센터","만능빵반죽하나로배우는홈베이킹(중1~성인)-3/26","구분없음","35000"
"41","시립성북청소년센터","맞춤형힐링상담 2형","청소년","5000"
"42","문래청소년수련관","*제로페이입금금액나누기용)교육주말:토요초등원어민영어C/교재비별도","초등생","2800"
"43","금천청소년수련관","아침B초급-청소년","주2회수영-청소년","36000"
"44","금천청소년수련관","난초A(3+3)","초4~24세미만","60000"
"45","금천청소년수련관","아침C상급-청소년","수영주6회-청소년","60000"
"46","금천청소년수련관","아침C중급-청소년","주5회수영-청소년","56000"
"47","구로청소년수련관","피아노(월,수,금)-바이엘17시","7세-청소년","50000"
"48","동대문청소년수련관","아침수영A-초급","청소년","70200"
"49","금천청소년수련관","매화A-청소년","주3회수영-청소년(구)","41000"
"50","동대문청소년수련관","아침수영A-초급","중.고등학생","57000"
"51","동대문청소년수련관","아침수영A-초급","성인","78000"
"52","동대문청소년수련관","아침수영A-초급(월수금)","성인","55000"
"53","금천청소년수련관","새벽A초급-청소년(3+3)","강습3+자유3","60000"
"54","동대문청소년수련관","아침수영A-초급(월수금)","중.고등학생","43000"
"55","동대문청소년수련관","아침수영A-초급(화목)","청소년","40500"
"56","금천청소년수련관","매화C(5회)","수영5회(구)","69300"
"57","동대문청소년수련관","아침수영B-상급(월수금)","청소년","49500"
"58","동대문청소년수련관","아침수영B-상급(월수금)","성인","55000"
"59","동대문청소년수련관","아침수영B-연수","청소년","70200"
"60","동대문청소년수련관","아침수영B-중급","청소년","70200"
"61","금천청소년수련관","매화C(6회)","주6회(구)","73700"
"62","동대문청소년수련관","아침수영C-상급(화목)","청소년","40500"
"63","동대문청소년수련관","아침수영C-연수(월수금)","청소년","49500"
"64","동대문청소년수련관","아침수영C-연수(월수금)","중.고등학생","43000"
"65","창동청소년센터","금요 오전피아노A(청소년~성인)","초급","30000"
"66","금천청소년수련관","해피노래교실(3개월)","성인(25세이상)","30000"
"67","금천청소년수련관","단기속성(월,수,금)-6시","성인(25세이상)","149240"
