"","vtitle","vpoint","vreview"
"1","극장판 귀멸의 칼날: 무한열차편","10","유포터블 애니는 진리다"
"2","극장판 귀멸의 칼날: 무한열차편","9","마지막이 정말 재밌었어요 그 앞까지는 그닥!"
"3","최미역행","1","충격과 공포였읍니다 홍콩독립 만세"
"4","퍼펙트 케어","2","이 영화를 보고 잘 만들었다고 질질 짜는 애들은 눈과 귀와 머리가 터져버린애들일 것이다. 이 영화는 공감이 1도 안되는 여자와 그 여자가 벌이는 범죄극을 그렸을 뿐 아무것도 없다."
"5","세자매","10","난데없이 눈물이 나네.중간중간 웃음포인트도 있고연기력이 좋아서 몰입이 잘  됨."
"6","미나리","10",""
"7","완벽한 타인","9","내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다"
"8","우아한 거짓말","10","펑펑 울면서 봤다ㅠㅠ스토리도 탄탄하고 아주 잘만든 영화!! 배우들 누구하나 빠짐없이 모두 연기대박!!! ""말"" 항상 조심하자.."
"9","명탐정 코난: 진홍의 수학여행","8","죽은사람이 불쌍하군영"
"10","노아","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
